id,url,name,rating,customer_reviews,price,price_type,image,prime,release_date
0545791340,https://www.amazon.com/Harry-Potter-Prisoner-Azkaban-Illustrated/dp/0545791340/ref=zg_bs_2967_1/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition",4.6,145,"$24.39 ","Hardcover ","91eOiXxgifL._SL500_SR135,160_.jpg",true,
B003XF1XOQ,https://www.amazon.com/Mockingjay-Hunger-Games-Trilogy-Book-ebook/dp/B003XF1XOQ/ref=zg_bs_2967_2/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Mockingjay (Hunger Games Trilogy, Book 3)",4.6,"73,788","$7.99 ","Kindle Edition ","71Cpfb-DMIL._SL500_UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_SR105,160_.jpg",false,
1423160932,https://www.amazon.com/Magnus-Chase-Gods-Asgard-Book/dp/1423160932/ref=zg_bs_2967_3/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Magnus Chase and the Gods of Asgard, Book 3 The Ship of the Dead",4.5,140,"$11.99 ","Hardcover ","61RdD2N2mEL._SL500_SR106,160_.jpg",true,
B002MQYOFW,https://www.amazon.com/Hunger-Games-Trilogy-Book-ebook/dp/B002MQYOFW/ref=zg_bs_2967_4/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"The Hunger Games (Hunger Games Trilogy, Book 1)",4.6,"73,788","$6.99 ","Kindle Edition ","71G3aqzYR5L._SL500_UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_SR105,160_.jpg",false,
0545935210,https://www.amazon.com/Dog-Man-Kitties-Creator-Underpants/dp/0545935210/ref=zg_bs_2967_5/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3)",4.8,206,"$8.28 ","Hardcover ","51tbzA%2BMoiL._SL500_SR108,160_.jpg",true,
B003O86FMW,https://www.amazon.com/Catching-Fire-Hunger-Games-Trilogy-ebook/dp/B003O86FMW/ref=zg_bs_2967_6/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Catching Fire (Hunger Games Trilogy, Book 2)",4.6,"73,788","$7.99 ","Kindle Edition ","81%2Buks6QaML._SL500_UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_SR105,160_.jpg",false,
0545935180,https://www.amazon.com/Dog-Man-Cat-Kid-Underpants/dp/0545935180/ref=zg_bs_2967_7/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4)",,,"$7.11 ","Hardcover ","71%2BFH4PSm4L._SL500_SR115,160_.jpg",true,": December 26, 2017"
1477847871,https://www.amazon.com/Snowmans-Story-Will-Hillenbrand/dp/1477847871/ref=zg_bs_2967_8/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Snowman&#39;s Story",4.2,118,"$4.00 ","Hardcover ","61Mkd7eZ3xL._SL500_SR160,160_.jpg",true,
0545790352,https://www.amazon.com/Harry-Potter-Sorcerers-Stone-Illustrated/dp/0545790352/ref=zg_bs_2967_9/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Harry Potter and the Sorcerer&#39;s Stone: The Illustrated Edition (Harry Potter, Book 1)",4.8,"58,099","$27.99 ","Hardcover ","51MIi4p2YyL._SL500_SR134,160_.jpg",true,
B01M01QIFU,https://www.amazon.com/Magnus-Chase-Gods-Asgard-Book-ebook/dp/B01M01QIFU/ref=zg_bs_2967_10/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Magnus Chase and the Gods of Asgard, Book 3: The Ship of the Dead (Rick Riordan&rsquo;s Norse Mythology)",4.5,140,"$14.99 ","Kindle Edition ","91PearsZy7L._SL500__BG0,0,0,0_FMpng_SR107,160_.jpg",false,
0545935202,https://www.amazon.com/Dog-Man-Unleashed-Creator-Underpants/dp/0545935202/ref=zg_bs_2967_11/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2)",4.8,341,"$8.48 ","Hardcover ","71wEuwB1J5L._SL500_SR108,160_.jpg",true,
B00NKQCQPI,https://www.amazon.com/Arthurs-Halloween-Arthur-Adventure-Brown-ebook/dp/B00NKQCQPI/ref=zg_bs_2967_12/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Arthur&#39;s Halloween (Arthur Adventure Series)",4.3,70,"$3.99 ","Kindle Edition ","919rs6hqVkL._SL500_UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_SR100,160_.jpg",false,
0545791324,https://www.amazon.com/Harry-Potter-Chamber-Secrets-Illustrated/dp/0545791324/ref=zg_bs_2967_13/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",4.8,"58,099","$29.04 ","Hardcover ","91zWrLyVEyL._SL500_SR136,160_.jpg",true,
0060254920,https://www.amazon.com/Where-Wild-Things-Maurice-Sendak/dp/0060254920/ref=zg_bs_2967_14/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Where the Wild Things Are",4.7,"2,021","$11.36 ","Hardcover ","61lRoIlve8L._SL500_SR160,160_.jpg",true,
0545581605,https://www.amazon.com/Dog-Man-Creator-Captain-Underpants/dp/0545581605/ref=zg_bs_2967_15/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Dog Man: From the Creator of Captain Underpants (Dog Man #1)",4.7,377,"$8.48 ","Hardcover ","71wpUih%2BZmL._SL500_SR108,160_.jpg",true,
0736436030,https://www.amazon.com/Moana-Little-Golden-Book-Disney/dp/0736436030/ref=zg_bs_2967_16/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Moana Little Golden Book (Disney Moana)",4.7,218,"$4.74 ","Laura Hitchcock ","61qBcQsjuOL._SL500_SR132,160_.jpg",true,
B010GO6JD6,https://www.amazon.com/Descendants-Junior-Novel-Disney-ebook-ebook/dp/B010GO6JD6/ref=zg_bs_2967_17/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Descendants Junior Novel (Disney Junior Novel (ebook))",4.6,242,"$8.99 ","Kindle Edition ","91%2BXeWxxEjL._SL500_UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_SR110,160_.jpg",false,
B075TJJW5T,https://www.amazon.com/Journey-Star-Wars-Last-Jedi-ebook/dp/B075TJJW5T/ref=zg_bs_2967_18/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Journey to Star Wars The Last Jedi: The Legends of Luke Skywalker (Star Wars: Journey to Star Wars: The Last Jedi)",4.6,5,"$9.99 ","Kindle Edition ","81ybaBHe3XL._SL500__BG0,0,0,0_FMpng_SR118,160_.jpg",false,
1338216791,https://www.amazon.com/Fantastic-Beasts-Where-Find-Them/dp/1338216791/ref=zg_bs_2967_19/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"Fantastic Beasts and Where to Find Them: The Illustrated Edition",,,"$22.03 ","Hardcover ","71FKyizMPHL._SL500_SR137,160_.jpg",true,": November 7, 2017"
0142405809,https://www.amazon.com/Snail-Whale-Julia-Donaldson/dp/0142405809/ref=zg_bs_2967_20/130-1492026-8395416?_encoding=UTF8&psc=1&refRID=X48WEN6Z9XRVWX57GK0G,"The Snail and the Whale",4.8,612,"$6.99 ","Paperback ","81YrCQVFKfL._SL500_SR160,160_.jpg",true,
